test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-05-05 13:20:41,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,24,16454( 129.63.159.102 ),22,16455( 129.63.159.102 )
2016-05-05 14:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16470( 129.63.159.102 ),22,16471( 129.63.159.102 )
2016-05-05 15:20:41,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16486( 129.63.159.102 ),22,16487( 129.63.159.102 )
2016-05-05 16:22:13,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16502( 129.63.159.102 ),26,16503( 129.63.159.102 )
2016-05-05 17:20:43,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16518( 129.63.159.102 ),22,16519( 129.63.159.102 )
2016-05-05 18:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16534( 129.63.159.102 ),22,16535( 129.63.159.102 )
2016-05-05 19:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16550( 129.63.159.102 ),22,16551( 129.63.159.102 )
2016-05-05 20:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16566( 129.63.159.102 ),22,16567( 129.63.159.102 )
2016-05-05 21:20:39,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16582( 129.63.159.102 ),22,16583( 129.63.159.102 )
2016-05-05 22:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16598( 129.63.159.102 ),22,16599( 129.63.159.102 )
2016-05-05 23:20:39,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16614( 129.63.159.102 ),22,16615( 129.63.159.102 )
2016-05-05 00:24:18,pluto.cs.brown.edu,192.91.235.230,5000,1024,4534,16248( 192.91.235.230 ),22,16249( 192.91.235.230 )
2016-05-05 01:24:20,pluto.cs.brown.edu,192.91.235.230,5000,1024,2294,16264( 192.91.235.230 ),22,16265( 192.91.235.230 )
2016-05-05 02:24:18,pluto.cs.brown.edu,192.91.235.230,5000,1024,4510,16280( 192.91.235.230 ),22,16281( 192.91.235.230 )
2016-05-05 03:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4400,16296( 192.91.235.230 ),22,16297( 192.91.235.230 )
2016-05-05 04:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4444,16312( 192.91.235.230 ),22,16313( 192.91.235.230 )
2016-05-05 05:24:18,pluto.cs.brown.edu,192.91.235.230,5000,1024,4364,16328( 192.91.235.230 ),22,16329( 192.91.235.230 )
2016-05-05 06:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4096,16344( 192.91.235.230 ),22,16345( 192.91.235.230 )
2016-05-05 07:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4422,16360( 192.91.235.230 ),22,16361( 192.91.235.230 )
2016-05-05 08:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4344,16376( 192.91.235.230 ),22,16377( 192.91.235.230 )
2016-05-05 09:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4280,16392( 192.91.235.230 ),22,16393( 192.91.235.230 )
2016-05-05 10:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4238,16408( 192.91.235.230 ),22,16409( 192.91.235.230 )
2016-05-05 11:24:20,pluto.cs.brown.edu,192.91.235.230,5000,1024,3652,16424( 192.91.235.230 ),22,16425( 192.91.235.230 )
2016-05-05 12:24:26,pluto.cs.brown.edu,192.91.235.230,5000,1024,1104,16440( 192.91.235.230 ),26,16441( 192.91.235.230 )
2016-05-05 13:24:18,pluto.cs.brown.edu,192.91.235.230,5000,1024,4220,16456( 192.91.235.230 ),22,16457( 192.91.235.230 )
2016-05-05 14:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4470,16472( 192.91.235.230 ),22,16473( 192.91.235.230 )
2016-05-05 15:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4332,16488( 192.91.235.230 ),22,16489( 192.91.235.230 )
2016-05-05 16:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4224,16504( 192.91.235.230 ),22,16505( 192.91.235.230 )
2016-05-05 17:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4238,16520( 192.91.235.230 ),22,16521( 192.91.235.230 )
2016-05-05 18:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,3966,16536( 192.91.235.230 ),22,16537( 192.91.235.230 )
2016-05-05 19:24:20,pluto.cs.brown.edu,192.91.235.230,5000,1024,2182,16552( 192.91.235.230 ),22,16553( 192.91.235.230 )
2016-05-05 20:24:21,pluto.cs.brown.edu,192.91.235.230,5000,1024,4206,16568( 192.91.235.230 ),22,16569( 192.91.235.230 )
2016-05-05 21:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,3394,16584( 192.91.235.230 ),22,16585( 192.91.235.230 )
2016-05-05 22:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4106,16600( 192.91.235.230 ),22,16601( 192.91.235.230 )
2016-05-05 23:24:19,pluto.cs.brown.edu,192.91.235.230,5000,1024,4306,16616( 192.91.235.230 ),22,16617( 192.91.235.230 )
2016-05-05 00:28:26,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,22,16250( 142.103.2.2 ),22,16251( 142.103.2.2 )
2016-05-05 01:28:26,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,22,16266( 142.103.2.2 ),22,16267( 142.103.2.2 )
2016-05-05 02:28:25,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,22,16282( 142.103.2.2 ),22,16283( 142.103.2.2 )
2016-05-05 03:28:25,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,22,16298( 142.103.2.2 ),22,16299( 142.103.2.2 )
2016-05-05 04:28:26,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,22,16314( 142.103.2.2 ),22,16315( 142.103.2.2 )
2016-05-05 05:28:24,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,410,16330( 142.103.2.2 ),22,16331( 142.103.2.2 )
2016-05-05 06:28:28,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,22,16346( 142.103.2.2 ),22,16347( 142.103.2.2 )
2016-05-05 07:28:25,planetlab2.cs.ubc.ca,142.103.2.2,5000,1024,296,16362( 142.103.2.2 ),22,16363( 142.103.2.2 )
